Sector;;;1995;Part (%);1996;Part (%);1997;Part (%);1998;Part (%);1999;Part (%);2000;Part (%);2001;Part (%);2002;Part (%);2003;Part (%);2004;Part (%);2005;Part (%);2006;Part (%);2007;Part (%);2008;Part (%);2009;Part (%);2010;Part (%);2011;Part (%);2012;Part (%);2013;Part (%);2014;Part (%);2015;Part (%);2016;Part (%);2017;Part (%);2018;Part (%);2019;Part (%);2020;Part (%);2021;Part (%);2022;Part (%);2023*;Part (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Exportaciones;;; 10,201 ;100.0; 10,648 ;100.0; 11,549 ;100.0; 10,866 ;100.0; 11,617 ;100.0; 13,158 ;100.0; 12,330 ;100.0; 11,975 ;100.0; 13,129 ;100.0; 16,788 ;100.0; 21,146 ;100.0; 24,512 ;100.0; 30,279 ;100.0; 36,786 ;100.0; 32,846 ;100.0; 39,713 ;100.0; 56,915 ;100.0; 60,125 ;100.0; 58,826 ;100.0; 54,857 ;100.0; 36,018 ;100.0; 31,768 ;100.0; 38,022 ;100.0;41,905;100.0; 39,489 ;100.0;31,056;100.0; 41,390 ;100.0; 56,910 ;100.0; 32,669 ;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sector agropecuario, ganadería, caza y silvicultura;;; 2,849 ;27.9; 2,624 ;24.6; 3,377 ;29.2; 3,060 ;28.2; 2,547 ;21.9; 2,230 ;16.9; 1,889 ;15.3; 1,957 ;16.3; 1,990 ;15.2; 2,349 ;14.0; 1,801 ;8.5; 1,864 ;7.6; 2,112 ;7.0; 2,067 ;5.6; 2,069 ;6.3; 2,147 ;5.4; 2,248 ;4.0; 2,600 ;4.3; 2,573 ;4.4; 2,501 ;4.6; 2,386 ;6.6; 2,588 ;8.1; 2,664 ;7.0;2,726;6.5; 2,910 ;7.4;3,024;9.7; 3,513 ;8.5; 4,037 ;7.1; 2,612 ;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sector minero;;; 2,521 ;24.7; 3,345 ;31.4; 3,233 ;28.0; 3,030 ;27.9; 4,189 ;36.1; 4,899 ;37.2; 3,783 ;30.7; 3,563 ;29.8; 3,885 ;29.6; 4,809 ;28.6; 6,521 ;30.8; 7,428 ;30.3; 9,062 ;29.9; 13,762 ;37.4; 13,782 ;42.0; 19,161 ;48.2; 31,723 ;55.7; 34,187 ;56.9; 34,344 ;58.4; 32,579 ;59.4; 17,592 ;48.8; 13,210 ;41.6; 18,115 ;47.6;20,481;48.9; 17,980 ;45.5;10,806;34.8; 15,791 ;38.2; 26,597 ;46.7; 13,637 ;41.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sector Industrial;;; 4,704 ;46.1; 4,561 ;42.8; 4,814 ;41.7; 4,637 ;42.7; 4,755 ;40.9; 5,883 ;44.7; 6,476 ;52.5; 6,290 ;52.5; 7,031 ;53.6; 9,348 ;55.7; 12,466 ;59.0; 14,854 ;60.6; 18,763 ;62.0; 20,651 ;56.1; 16,696 ;50.8; 18,156 ;45.7; 22,601 ;39.7; 23,059 ;38.4; 21,659 ;36.8; 19,447 ;35.5; 15,882 ;44.1; 15,881 ;50.0; 17,156 ;45.1;18,583;44.3; 18,502 ;46.8;17,160;55.3; 21,986 ;53.1; 26,169 ;46.0; 16,300 ;49.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elaboración de productos alimenticios;;; 794 ;7.8; 742 ;7.0; 849 ;7.3; 924 ;8.5; 793 ;6.8; 838 ;6.4; 938 ;7.6; 876 ;7.3; 934 ;7.1; 1,120 ;6.7; 2,702 ;12.8; 2,993 ;12.2; 3,666 ;12.1; 4,387 ;11.9; 3,832 ;11.7; 3,556 ;9.0; 4,739 ;8.3; 3,942 ;6.6; 3,994 ;6.8; 4,746 ;8.7; 4,467 ;12.4; 4,217 ;13.3; 4,607 ;12.1;4,463;10.6; 4,334 ;11.0;4,768;15.4; 5,832 ;14.1; 7,393 ;13.0; 4,061 ;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elaboración de bebidas;;; 12 ;0.1; 12 ;0.1; 21 ;0.2; 18 ;0.2; 14 ;0.1; 20 ;0.2; 25 ;0.2; 29 ;0.2; 36 ;0.3; 45 ;0.3; 54 ;0.3; 54 ;0.2; 53 ;0.2; 58 ;0.2; 38 ;0.1; 38 ;0.1; 40 ;0.1; 46 ;0.1; 35 ;0.1; 32 ;0.1; 28 ;0.1; 20 ;0.1; 30 ;0.1;54;0.1; 63 ;0.2;51;0.2; 60 ;0.1; 70 ;0.1; 47 ;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elaboración de productos de tabaco;;; 10 ;0.1; 13 ;0.1; 13 ;0.1; 12 ;0.1; 17 ;0.1; 24 ;0.2; 29 ;0.2; 49 ;0.4; 61 ;0.5; 79 ;0.5; 42 ;0.2; 38 ;0.2; 49 ;0.2; 33 ;0.1; 28 ;0.1; 15 ;0.0; 28 ;0.0; 32 ;0.1; 65 ;0.1; 50 ;0.1; 43 ;0.1; 33 ;0.1; 43 ;0.1;41;0.1; 40 ;0.1;10;0.0; 7 ;0.0; 6 ;0.0; 4 ;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de productos textiles;;; 243 ;2.4; 243 ;2.3; 267 ;2.3; 254 ;2.3; 225 ;1.9; 257 ;2.0; 256 ;2.1; 201 ;1.7; 218 ;1.7; 308 ;1.8; 332 ;1.6; 358 ;1.5; 633 ;2.1; 861 ;2.3; 616 ;1.9; 375 ;0.9; 458 ;0.8; 436 ;0.7; 374 ;0.6; 339 ;0.6; 289 ;0.8; 255 ;0.8; 250 ;0.7;252;0.6; 241 ;0.6;214;0.7; 263 ;0.6; 288 ;0.5; 173 ;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Confección de prendas de vestir;;; 549 ;5.4; 474 ;4.4; 443 ;3.8; 429 ;3.9; 426 ;3.7; 521 ;4.0; 573 ;4.6; 527 ;4.4; 640 ;4.9; 868 ;5.2; 902 ;4.3; 962 ;3.9; 1,352 ;4.5; 1,210 ;3.3; 585 ;1.8; 645 ;1.6; 643 ;1.1; 693 ;1.2; 604 ;1.0; 524 ;1.0; 482 ;1.3; 408 ;1.3; 412 ;1.1;452;1.1; 451 ;1.1;330;1.1; 508 ;1.2; 536 ;0.9; 311 ;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles";;; 215 ;2.1; 148 ;1.4; 141 ;1.2; 138 ;1.3; 121 ;1.0; 167 ;1.3; 183 ;1.5; 151 ;1.3; 158 ;1.2; 190 ;1.1; 204 ;1.0; 241 ;1.0; 472 ;1.6; 672 ;1.8; 291 ;0.9; 231 ;0.6; 263 ;0.5; 259 ;0.4; 262 ;0.4; 299 ;0.5; 252 ;0.7; 192 ;0.6; 181 ;0.5;160;0.4; 142 ;0.4;87;0.3; 145 ;0.4; 135 ;0.2; 76 ;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
