DATE,RGDPNACOA666NRUG
1950-01-01,42417.15234375
1951-01-01,43415.0546875
1952-01-01,46287.62890625
1953-01-01,49921.70703125
1954-01-01,53759.39453125
1955-01-01,56061.01953125
1956-01-01,57498.89453125
1957-01-01,57798.14453125
1958-01-01,58373.44140625
1959-01-01,62282.60546875
1960-01-01,65859.65625
1961-01-01,69705.5
1962-01-01,73088.5234375
1963-01-01,75276.828125
1964-01-01,81225.671875
1965-01-01,82062.515625
1966-01-01,86632.6015625
1967-01-01,90062.453125
1968-01-01,95959.171875
1969-01-01,102273.1328125
1970-01-01,109445.2578125
1971-01-01,115968.9921875
1972-01-01,124862.8203125
1973-01-01,133257.296875
1974-01-01,140913.921875
1975-01-01,144187.71875
1976-01-01,151005.453125
1977-01-01,157285.03125
1978-01-01,170606.90625
1979-01-01,179784.046875
1980-01-01,187132.46875
1981-01-01,191393.234375
1982-01-01,193208.453125
1983-01-01,196249.46875
1984-01-01,202825.171875
1985-01-01,209127.140625
1986-01-01,221306.875
1987-01-01,233188.671875
1988-01-01,242665.90625
1989-01-01,250950.734375
1990-01-01,261696.4375
1991-01-01,266934.5625
1992-01-01,277731.875
1993-01-01,293590.8125
1994-01-01,308702.96875
1995-01-01,324763.0625
1996-01-01,331439.71875
1997-01-01,342809.0625
1998-01-01,344762.34375
1999-01-01,330268.46875
2000-01-01,339928.375
2001-01-01,345632.0
2002-01-01,354286.59375
2003-01-01,368168.46875
2004-01-01,387803.0
2005-01-01,406055.15625
2006-01-01,433329.34375
2007-01-01,462527.9375
2008-01-01,477714.78125
2009-01-01,483159.03125
2010-01-01,504875.40625
2011-01-01,539953.625
2012-01-01,561080.0
2013-01-01,589885.875
2014-01-01,616425.0
2015-01-01,634645.875
2016-01-01,647893.375
2017-01-01,656700.5625
2018-01-01,673218.75
2019-01-01,695584.4375
