DATE,MKTGDPCOA646NWDB
1960-01-01,4031152977.24659
1961-01-01,4540447761.87171
1962-01-01,4955537980.05851
1963-01-01,4836166666.66667
1964-01-01,5973366666.66667
1965-01-01,5760761904.7619
1966-01-01,5428518518.51852
1967-01-01,5825170438.48704
1968-01-01,5960212869.12968
1969-01-01,6450175213.74923
1970-01-01,7198360460.19887
1971-01-01,7820380970.53674
1972-01-01,8671358732.68486
1973-01-01,10315760000.3394
1974-01-01,12370029583.6419
1975-01-01,13098633901.8673
1976-01-01,15341403660.4698
1977-01-01,19470960619.1297
1978-01-01,23263511958.0509
1979-01-01,27940411250.2732
1980-01-01,33400735644.0481
1981-01-01,36388366869.0309
1982-01-01,38968039721.748
1983-01-01,38729822781.5997
1984-01-01,38253120737.9671
1985-01-01,34894419525.2817
1986-01-01,34942489683.9712
1987-01-01,36373307085.0887
1988-01-01,39212550050.4223
1989-01-01,39540080200.3938
1990-01-01,47844090709.9908
1991-01-01,49637993948.8402
1992-01-01,58394443348.9332
1993-01-01,66474101329.3543
1994-01-01,81705497616.5703
1995-01-01,92495970511.3951
1996-01-01,97153389010.9466
1997-01-01,106656492324.769
1998-01-01,98486358604.1784
1999-01-01,86278947620.5906
2000-01-01,99875074935.083
2001-01-01,98200641189.1568
2002-01-01,97945812789.8533
2003-01-01,94644969146.1352
2004-01-01,117092416651.395
2005-01-01,145600527535.771
2006-01-01,161792959247.85
2007-01-01,206229536757.674
2008-01-01,242504150472.931
2009-01-01,232468666665.153
2010-01-01,286498534094.963
2011-01-01,334966134865.305
2012-01-01,370691143086.761
2013-01-01,382093697077.685
2014-01-01,381240864422.407
2015-01-01,293492370228.847
2016-01-01,282720100286.228
2017-01-01,311866875135.576
2018-01-01,334198218100.716
2019-01-01,323031701210.767
2020-01-01,270150956772.567
2021-01-01,318511813576.972
2022-01-01,343939445259.487
